ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind
1749521243544,65.359375,19.50390625,22.125,25.046875,22.69921875,22.60546875
1749521258546,670.828125,30.5703125,23.625,37.25390625,23.69921875,23.73046875
1749521273547,783.1953125,39.25,25.77734375,37.16796875,25.734375,26.19921875
1749521288549,794.9296875,39.375,27.875,37.51953125,25.984375,26.19921875
1749521303551,801.46484375,39.375,27.875,37.58203125,28.109375,28.390625
1749521318553,805.53125,39.375,29.9765625,39.91796875,30.31640625,30.5703125
1749521333556,806.7890625,39.375,32.0859375,39.72265625,30.44140625,30.5703125
1749521348558,808.828125,39.375,32.0859375,39.71875,32.48828125,32.6875
1749521363559,812.7421875,39.375,34.19921875,39.6484375,34.56640625,34.69921875
1749521378560,814.36328125,39.375,36.21875,39.61328125,34.56640625,34.69921875
1749521393562,815.36328125,39.375,38.25390625,39.84375,36.60546875,36.80859375
1749521408563,817.75390625,39.375,38.25390625,39.73828125,38.77734375,38.8359375
1749521423566,818.34765625,39.375,40.26953125,39.96484375,38.77734375,38.9609375
1749521438568,816.5390625,39.375,42.2890625,39.78515625,40.79296875,40.97265625
1749521453570,830.49609375,39.375,42.2890625,40.0078125,42.81640625,42.99609375
1749521468572,834.23046875,39.375,42.2890625,39.96875,42.81640625,42.99609375
1749521483575,835.9609375,39.375,42.4140625,40.0703125,42.81640625,42.99609375
1749521498576,839.90234375,39.375,42.4140625,39.921875,42.81640625,42.99609375
1749521513578,841.609375,39.375,42.4140625,39.98046875,42.81640625,42.99609375
1749521528580,842.6015625,39.375,42.4140625,40.10546875,42.81640625,42.99609375
1749521543582,845.76953125,39.375,42.4140625,39.97265625,42.81640625,42.99609375
1749521558584,846.46484375,39.375,42.4140625,39.92578125,42.81640625,42.99609375
1749521573585,849.37890625,39.375,42.4140625,39.875,42.81640625,42.99609375
1749521588586,850.52734375,39.375,42.4140625,39.96484375,42.81640625,42.99609375
1749521603587,852.48046875,39.5,42.4140625,39.8125,42.81640625,42.99609375
1749521618590,852.23046875,39.5,42.4140625,39.9375,42.81640625,42.99609375
1749521633591,856.11328125,39.5,42.4140625,40.0625,42.81640625,43.12109375
1749521648594,866.8828125,39.5,42.4140625,39.921875,42.81640625,43.12109375
1749521663595,870.640625,39.5,42.4140625,39.921875,42.81640625,43.12109375
1749521678596,871.8828125,39.5,42.4140625,39.9140625,42.81640625,43.12109375
1749521693598,872.30078125,39.5,42.4140625,40.1640625,42.81640625,43.12109375
1749521708600,876.37890625,39.5,42.4140625,40.02734375,42.81640625,43.12109375
1749521723601,885.19140625,39.5,42.4140625,39.93359375,42.81640625,43.12109375
1749521738602,888.82421875,39.5,42.5390625,42.2890625,42.81640625,43.12109375
1749521753604,890.48828125,39.5,42.5390625,42.26953125,42.81640625,43.12109375
1749521768607,894.04296875,39.5,42.5390625,42.3828125,42.81640625,43.12109375
1749521783608,897.421875,39.5,42.5390625,42.296875,42.81640625,43.12109375
1749521798610,897.109375,39.5,42.5390625,42.140625,42.81640625,43.12109375
1749521813612,896.67578125,39.5,42.5390625,42.26171875,42.81640625,43.12109375
1749521828613,906.17578125,39.5,42.5390625,42.3359375,42.81640625,43.12109375
1749521843615,908.08203125,39.5,42.5390625,42.25,42.81640625,43.12109375
1749521858619,911.54296875,39.5,42.5390625,42.47265625,42.81640625,43.12109375
1749521873620,913.80078125,39.5,42.5390625,42.484375,42.81640625,43.12109375
1749521888622,915.45703125,39.5,42.5390625,42.2890625,43.06640625,43.12109375
1749521903625,920.6171875,39.5,42.5390625,44.4609375,43.06640625,43.12109375
1749521918627,922.57421875,39.5,42.6640625,44.37109375,43.06640625,43.12109375
1749521933629,925.12109375,39.5,42.6640625,44.36328125,43.06640625,43.12109375
1749521948632,934.63671875,39.5,42.6640625,44.54296875,43.06640625,43.12109375
1749521963633,945.171875,39.5,42.6640625,44.5078125,43.06640625,43.12109375
1749521978634,946.58984375,39.5,42.6640625,44.51953125,43.06640625,43.12109375
1749521993636,947.359375,39.5,42.6640625,44.64453125,43.06640625,43.12109375
1749522008639,948.17578125,39.5,42.6640625,44.5234375,43.19140625,43.12109375
1749522023640,962.50390625,39.5,42.6640625,44.609375,43.31640625,43.12109375
1749522038642,964.65625,39.5,42.6640625,44.6015625,43.31640625,43.12109375
1749522053643,966.65625,39.5,42.6640625,44.3984375,43.31640625,43.12109375
1749522068645,969.9921875,39.5,42.6640625,44.5234375,43.31640625,43.12109375
1749522083647,971.09375,39.5,42.6640625,44.59765625,43.31640625,43.24609375
1749522098648,974.90625,39.5,42.6640625,44.55859375,43.31640625,43.24609375
1749522113649,975.59765625,39.5,42.6640625,44.5234375,43.31640625,43.24609375
1749522128650,978.0390625,39.5,42.6640625,44.7734375,43.31640625,43.24609375
1749522143652,982.76171875,39.5,42.6640625,44.59765625,43.31640625,43.24609375
1749522158654,983.1796875,39.5,42.6640625,44.53125,43.31640625,43.24609375
1749522173655,984.13671875,39.5,42.6640625,44.63671875,43.31640625,43.24609375
1749522188658,986.65625,39.5,42.6640625,44.76171875,43.31640625,43.24609375
1749522203658,986.98828125,39.5,42.6640625,44.75,43.31640625,43.37109375
1749522218661,998.78125,39.5,42.6640625,46.8984375,43.31640625,43.37109375
1749522233662,1000.21484375,39.5,42.6640625,46.83203125,43.31640625,43.37109375
1749522248663,1000.2734375,39.5,42.6640625,46.68359375,43.31640625,43.37109375
1749522263665,999.8046875,39.5,42.6640625,46.734375,43.31640625,43.37109375
1749522278666,999.5078125,39.5,42.6640625,46.625,43.31640625,43.37109375
1749522293668,999.20703125,39.5,42.6640625,46.625,43.31640625,43.37109375
1749522308671,1020.0390625,39.5,42.6640625,46.97265625,43.31640625,43.37109375
1749522323672,1031.71484375,39.5,42.6640625,46.78125,43.31640625,43.37109375
1749522338673,1055.76171875,39.625,42.6640625,46.90625,43.31640625,43.37109375
1749522353676,1061.3359375,39.625,42.6640625,46.92578125,43.31640625,43.37109375
1749522368677,1059.40234375,39.625,42.6640625,46.73046875,44.69140625,43.37109375
1749522383680,1055.35546875,39.625,42.6640625,46.7421875,46.69140625,43.49609375
1749522398682,1065.328125,39.625,46.0390625,46.89453125,46.69140625,43.49609375
1749522413683,1065.1015625,39.625,46.0390625,47.0,46.69140625,44.99609375
1749522428684,1064.90234375,39.625,46.0390625,47.69140625,46.69140625,46.99609375
