ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind,stmt2_query
1755137514475,55.51953125,19.8125,23.06640625,23.390625,22.08203125,21.57421875,23.30078125
1755137529477,582.47265625,29.2109375,26.5625,53.49609375,23.83203125,24.32421875,25.30078125
1755137544478,781.3359375,37.4609375,28.875,53.734375,26.07421875,26.47265625,27.90625
1755137559481,782.55859375,39.46875,31.16796875,53.81640625,28.37890625,28.6328125,30.4140625
1755137574484,784.6953125,39.46875,33.30859375,53.80078125,30.6796875,30.76953125,34.65625
1755137589486,795.64453125,39.46875,35.32421875,53.9921875,30.6796875,30.76953125,36.9375
1755137604487,805.69921875,39.46875,37.33203125,53.87109375,32.86328125,32.98828125,38.96484375
1755137619491,807.41796875,39.46875,39.45703125,54.9375,34.9609375,35.1015625,41.00390625
1755137634493,809.28515625,39.46875,41.4765625,55.91015625,37.00390625,37.13671875,43.1171875
1755137649497,810.7265625,39.46875,43.5,56.16796875,37.00390625,37.26171875,45.296875
1755137664498,812.76171875,39.46875,43.5,56.171875,39.0078125,39.265625,45.296875
1755137679504,815.171875,39.46875,43.5,56.203125,41.109375,41.26953125,45.296875
1755137694505,816.92578125,39.46875,43.5,56.3359375,43.30859375,43.34765625,45.296875
1755137709507,818.7890625,39.46875,43.5,56.28515625,43.30859375,43.34765625,45.296875
1755137724508,820.14453125,39.46875,43.5,56.13671875,43.30859375,43.34765625,45.421875
1755137739509,820.8828125,39.46875,43.625,56.125,43.30859375,43.34765625,45.421875
1755137754511,823.31640625,39.46875,43.625,56.22265625,43.30859375,43.34765625,45.671875
1755137769514,823.68359375,39.46875,43.625,56.1015625,43.30859375,43.34765625,45.796875
1755137784516,829.94140625,39.59375,43.625,56.34765625,43.30859375,43.47265625,45.796875
1755137799519,831.3671875,39.59375,43.625,56.12890625,43.30859375,43.47265625,45.796875
1755137814520,833.6171875,39.59375,43.625,56.45703125,43.30859375,43.47265625,45.796875
1755137829522,835.51953125,39.59375,43.625,56.3359375,43.30859375,43.47265625,45.796875
1755137844523,838.30078125,39.59375,43.625,56.44140625,43.30859375,43.47265625,45.796875
1755137859524,839.74609375,39.59375,43.625,56.453125,43.30859375,43.47265625,45.796875
1755137874527,843.296875,39.59375,43.625,57.4140625,43.30859375,43.47265625,45.796875
