ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind,stmt2_query
1773024514744,62.90625,24.94921875,28.37890625,31.51171875,28.28125,26.75390625,27.9140625
1773024529745,556.0859375,32.3046875,29.62109375,43.87890625,29.3359375,29.80859375,45.05078125
1773024544749,777.64453125,40.54296875,29.88671875,44.30859375,29.53125,29.98828125,67.31640625
1773024559751,779.515625,44.81640625,30.27734375,44.37109375,29.796875,30.19921875,88.375
1773024574756,781.05078125,44.828125,30.34765625,44.4375,29.9609375,30.34765625,109.06640625
1773024589757,783.3359375,44.83203125,30.38671875,44.61328125,30.09765625,30.5,129.54296875
1773024604758,787.6328125,44.83203125,30.41796875,46.49609375,30.2421875,30.62890625,149.98046875
1773024619760,789.39453125,44.83984375,30.43359375,46.58203125,30.3671875,30.734375,170.83203125
1773024634763,791.04296875,44.859375,30.48046875,46.546875,32.38671875,32.8125,193.36328125
1773024649766,792.33203125,44.86328125,30.5078125,46.6015625,32.44140625,32.859375,211.7265625
1773024664768,792.67578125,44.86328125,30.52734375,46.62109375,32.46875,32.87890625,230.2265625
1773024679770,798.359375,44.8671875,30.5546875,46.65625,32.54296875,32.91796875,248.83984375
1773024694773,800.94140625,44.8671875,30.58984375,46.796875,32.578125,32.9375,267.08984375
1773024709774,803.74609375,44.87109375,30.59765625,46.8203125,32.59375,32.984375,285.1171875
1773024724777,805.83203125,44.875,30.625,46.78515625,32.62109375,33.0078125,303.57421875
1773024739781,807.68359375,44.875,30.640625,46.76171875,32.6875,33.02734375,321.79296875
1773024754783,808.71484375,44.875,30.65234375,46.8203125,34.703125,35.05078125,339.8046875
1773024769785,812.46484375,44.875,30.66015625,46.7421875,34.7421875,35.0703125,358.015625
1773024784787,814.61328125,44.87890625,30.66796875,46.78125,34.79296875,35.09375,375.98046875
1773024799789,817.046875,44.87890625,30.6796875,46.83203125,34.80859375,35.1171875,394.5234375
1773024814793,818.0625,44.890625,30.7109375,46.80078125,34.82421875,35.12890625,412.484375
1773024829794,819.6875,45.20703125,30.734375,46.8046875,34.8359375,35.14453125,431.05859375
1773024844797,819.8828125,45.21875,30.7421875,46.90234375,34.875,35.15234375,449.5234375
1773024859800,825.265625,45.21875,30.76171875,46.828125,34.8828125,35.16015625,467.84375
1773024874801,829.1953125,45.21875,30.76953125,46.99609375,36.90234375,37.171875,486.1875
1773024889805,831.1484375,45.21875,30.78515625,46.9296875,36.91015625,37.18359375,504.1484375
1773024904806,832.91796875,45.21875,30.7890625,46.9453125,36.9140625,37.19140625,522.03125
1773024919809,835.0234375,45.22265625,30.80078125,46.953125,36.9296875,37.20703125,540.4609375
1773024934811,835.7734375,45.2265625,30.8125,46.88671875,36.9453125,37.21875,558.8125
1773024949814,837.16796875,45.2265625,30.82421875,46.90234375,36.96484375,37.23046875,577.37109375
1773024964816,839.953125,45.2265625,30.828125,46.90234375,36.97265625,37.234375,595.3828125
1773024979817,842.58984375,45.23828125,30.83984375,47.09765625,39.03515625,39.2421875,613.734375
1773024994819,843.734375,45.2421875,30.84375,46.94140625,39.04296875,39.2578125,632.19140625
1773025009822,845.56640625,45.24609375,30.84765625,46.98046875,39.046875,39.2734375,650.59375
1773025024825,847.56640625,45.24609375,30.86328125,46.92578125,39.0546875,39.27734375,668.87890625
1773025039826,850.75,45.25390625,30.87109375,46.953125,39.05859375,39.28515625,687.234375
1773025054829,852.984375,45.25390625,30.88671875,47.09765625,39.06640625,39.2890625,705.66015625
1773025069830,855.3125,45.26171875,30.88671875,47.109375,39.07421875,39.296875,723.92578125
1773025084832,857.0703125,45.26171875,30.890625,47.0859375,39.07421875,39.296875,742.66015625
1773025099837,859.328125,45.26171875,30.90234375,47.0625,41.078125,41.30078125,760.94140625
1773025114839,860.7265625,45.26171875,30.91015625,46.98046875,41.11328125,41.3125,779.22265625
1773025129841,862.15234375,45.26953125,30.91796875,47.07421875,41.11328125,41.3203125,797.5234375
1773025144844,863.8359375,45.26953125,30.921875,47.05859375,41.1171875,41.3203125,815.91015625
1773025159845,865.984375,45.26953125,30.92578125,47.1015625,41.1171875,41.33203125,834.42578125
1773025174848,867.99609375,45.27734375,30.94140625,47.12109375,41.1171875,41.3359375,853.05859375
1773025189849,872.71875,45.27734375,30.9453125,49.0703125,41.12109375,41.33984375,870.9921875
1773025204851,875.44921875,45.27734375,30.95703125,49.1875,41.13671875,41.34375,889.234375
1773025219853,879.5625,45.28125,30.9609375,49.3359375,43.140625,43.34765625,907.64453125
1773025234857,881.02734375,45.28515625,30.96875,49.33984375,43.1484375,43.34765625,926.26171875
1773025249858,882.6953125,45.2890625,30.97265625,49.42578125,43.1484375,43.3515625,944.58203125
1773025264861,897.5546875,45.2890625,30.98046875,49.38671875,43.15234375,43.3515625,962.77734375
1773025279864,912.671875,45.2890625,31.015625,49.4140625,43.15234375,43.35546875,981.6875
1773025294865,923.34375,45.29296875,31.0234375,49.4375,43.16015625,43.36328125,999.90234375
1773025309866,924.828125,45.30078125,31.02734375,49.453125,43.1796875,43.3671875,1018.54296875
1773025324868,926.03125,45.3046875,31.03515625,49.421875,43.18359375,45.37109375,1037.05859375
1773025339870,927.16015625,45.3046875,31.04296875,51.5859375,45.1953125,45.37109375,1055.4921875
1773025354871,930.8125,45.3046875,31.04296875,51.58203125,45.1953125,45.375,1072.953125
1773025369873,933.4140625,45.3046875,31.05078125,51.515625,45.203125,45.37890625,1091.43359375
1773025384875,934.11328125,45.3046875,31.05078125,51.46484375,45.2109375,45.37890625,1110.03125
1773025399876,936.734375,45.3046875,31.05859375,51.53125,45.2109375,45.38671875,1128.34765625
1773025414878,942.0859375,45.30859375,31.05859375,51.49609375,45.23828125,45.38671875,1146.76171875
1773025429879,943.86328125,45.33203125,31.08203125,51.50390625,45.23828125,45.43359375,1165.265625
1773025444881,948.69140625,45.33203125,31.09375,51.6484375,47.23828125,47.43359375,1183.77734375
1773025459882,950.44921875,45.33203125,31.09765625,51.55859375,47.23828125,47.43359375,1202.25
1773025474883,952.12890625,45.33203125,31.1015625,51.52734375,47.23828125,47.44140625,1220.453125
1773025489884,953.60546875,45.3359375,31.10546875,51.53125,47.2421875,47.4453125,1238.80859375
1773025504886,955.00390625,45.34375,31.10546875,51.55078125,47.24609375,47.44921875,1256.96484375
1773025519890,956.5546875,45.34375,31.109375,51.62109375,47.28515625,47.44921875,1275.52734375
1773025534893,957.85546875,45.34375,31.1171875,51.7109375,47.2890625,47.453125,1294.15234375
1773025549896,960.7734375,45.34375,31.125,51.5703125,47.2890625,47.45703125,1312.66015625
1773025564897,963.578125,45.34375,31.125,51.68359375,49.2890625,49.45703125,1331.53515625
1773025579901,968.578125,45.34375,31.12890625,51.8203125,49.29296875,49.45703125,1350.0625
1773025594902,969.55078125,45.34375,31.13671875,51.62890625,49.29296875,49.4609375,1368.55078125
1773025609903,971.77734375,45.34765625,31.140625,51.56640625,49.29296875,49.46484375,1386.87890625
1773025624904,987.9453125,45.3515625,31.14453125,51.6171875,49.29296875,49.46484375,1405.6484375
1773025639906,1010.09765625,45.35546875,31.1484375,51.6171875,49.296875,49.46875,1423.84375
1773025654907,1025.69140625,45.359375,31.1484375,51.63671875,49.30078125,49.46875,1442.609375
1773025669909,1054.66015625,45.359375,31.15234375,51.703125,49.30078125,49.47265625,1461.2578125
1773025684911,1068.31640625,45.3671875,31.15625,51.6328125,49.30859375,49.48046875,1479.72265625
1773025699914,1068.90625,45.3671875,34.62109375,51.609375,49.30859375,49.48046875,1498.51953125
1773025714916,1071.453125,45.3671875,48.46875,51.96484375,49.31640625,49.484375,1516.9765625
1773025729917,1072.61328125,45.3671875,58.3671875,51.7421875,49.31640625,49.484375,1535.26953125
1773025744921,1075.15234375,45.37109375,60.3671875,51.7578125,54.5078125,49.484375,1553.84765625
1773025759924,1076.22265625,45.37109375,60.37109375,52.0390625,68.359375,49.48828125,1572.71484375
1773025774927,1081.23046875,45.375,60.37109375,51.98828125,78.23828125,49.48828125,1591.15625
1773025789928,1082.74609375,45.37890625,60.375,59.02734375,78.23828125,49.4921875,1609.84765625
1773025804931,1084.23046875,45.37890625,60.375,78.8671875,78.2421875,49.4921875,1628.64453125
1773025819932,1086.70703125,45.37890625,60.37890625,80.96875,78.2421875,49.4921875,1647.35546875
1773025834936,1091.0859375,67.875,60.390625,80.91015625,78.2421875,49.49609375,1665.3046875
1773025849939,1090.40625,73.34375,60.39453125,82.9453125,78.29296875,49.49609375,1683.7109375
1773025864940,1089.38671875,73.34375,60.40234375,82.9375,78.296875,49.49609375,1714.2578125
1773025879942,1089.19140625,73.34375,60.40234375,82.83984375,78.30859375,49.5,1746.51171875
1773025894945,1087.8671875,73.34375,60.40234375,82.9375,78.3125,49.5,1766.47265625
1773025909947,1087.31640625,73.34375,60.40625,82.84765625,78.3125,49.5,1785.0703125
1773025924951,1086.375,73.34375,60.40625,82.94921875,78.3203125,49.50390625,1803.8515625
1773025939952,1085.81640625,73.34375,60.4140625,82.95703125,78.3203125,49.50390625,1822.390625
1773025954954,1089.34375,73.34375,60.4140625,82.98046875,78.3203125,49.50390625,1840.8125
1773025969956,1089.125,73.34375,60.421875,82.89453125,78.3359375,49.50390625,1859.37109375
1773025984960,1088.0078125,73.34375,60.42578125,82.94921875,78.33984375,49.5078125,1877.94921875
1773025999964,1088.171875,73.34765625,60.4296875,82.859375,78.33984375,49.5078125,1896.66796875
1773026014965,1088.16015625,73.34765625,60.4296875,82.9765625,78.33984375,49.515625,1915.21484375
1773026029967,1088.58984375,73.34765625,60.4296875,82.91015625,78.34765625,49.51953125,1933.83203125
1773026044968,1087.97265625,73.35546875,60.4296875,83.0078125,78.34765625,49.51953125,1952.5390625
1773026059974,1087.8046875,73.359375,60.4296875,83.01171875,78.34765625,49.51953125,1971.265625
1773026074976,1086.95703125,73.3671875,60.4375,82.9921875,78.35546875,49.5234375,1989.80078125
1773026089978,1085.8359375,73.3671875,60.44140625,82.87109375,78.35546875,49.5234375,2008.54296875
1773026104980,1085.0,73.3671875,60.44140625,83.109375,78.359375,49.52734375,2026.75
1773026119982,1084.35546875,73.3671875,60.44140625,83.0703125,78.36328125,49.52734375,2045.05859375
1773026134983,1088.53125,73.3671875,60.44921875,82.91796875,78.37890625,49.53125,2063.9140625
1773026149986,1088.72265625,73.3671875,60.45703125,84.94140625,78.37890625,49.53125,2082.12890625
1773026164989,1088.13671875,73.3671875,60.45703125,85.0078125,78.37890625,49.53125,2100.87890625
1773026179992,1087.21484375,73.3671875,60.45703125,84.97265625,78.3828125,49.53125,2119.45703125
1773026194996,1086.77734375,73.3671875,60.4609375,84.8828125,78.3828125,49.53515625,2138.05078125
1773026209997,1086.99609375,73.3671875,60.4609375,85.0390625,78.38671875,49.5390625,2156.70703125
1773026224999,1087.29296875,73.3671875,60.46484375,85.1171875,78.38671875,49.5390625,2175.1640625
1773026240000,1087.03515625,73.3671875,60.46484375,85.078125,78.390625,49.5390625,2193.81640625
1773026255003,1086.97265625,73.3671875,60.46484375,85.05078125,78.39453125,49.5390625,2212.23046875
1773026270005,1085.96875,73.3671875,60.46484375,85.1484375,78.39453125,49.5390625,2230.94140625
1773026285008,1086.859375,73.37109375,60.46875,85.140625,78.39453125,49.54296875,2249.68359375
1773026300009,1087.1875,73.37109375,60.46875,85.0859375,78.3984375,49.54296875,2268.0
1773026315012,1086.03515625,73.37109375,60.47265625,84.984375,78.40234375,49.54296875,2286.46484375
1773026330013,1090.2421875,73.37109375,60.4765625,85.015625,78.40625,49.54296875,2304.953125
1773026345014,1089.5390625,73.37109375,60.4765625,85.11328125,78.41015625,49.54296875,2323.6328125
1773026360019,1089.26953125,73.375,60.4765625,85.046875,78.41015625,49.546875,2341.84765625
1773026375020,1088.95703125,73.375,60.4765625,84.99609375,78.41015625,49.55078125,2360.48828125
1773026390021,1088.16015625,73.375,60.4765625,84.9765625,78.42578125,49.55078125,2378.80078125
1773026405022,1089.34375,73.3828125,60.4765625,84.984375,78.42578125,49.5546875,2396.63671875
1773026420024,1088.92578125,73.3828125,60.4765625,85.1484375,78.42578125,49.5546875,2415.15625
1773026435025,1088.65234375,73.390625,60.48046875,85.23046875,78.42578125,49.5546875,2433.5
1773026450026,1087.7421875,73.390625,60.484375,85.234375,78.4296875,49.5546875,2452.0078125
1773026465030,1087.70703125,73.39453125,60.48828125,85.2265625,78.46484375,49.55859375,2470.41015625
1773026480034,1086.1171875,73.39453125,60.4921875,85.03125,78.46484375,49.5625,2488.48828125
1773026495037,1089.765625,73.39453125,60.4921875,84.94921875,78.46484375,49.5625,2506.265625
1773026510042,1093.35546875,73.39453125,60.49609375,84.96484375,78.46875,49.5625,2524.74609375
1773026525046,1092.8671875,73.39453125,60.49609375,85.17578125,78.46875,49.5625,2543.2109375
1773026540047,1092.421875,73.39453125,60.49609375,87.24609375,78.47265625,49.5625,2561.80859375
1773026555050,1091.11328125,73.39453125,60.5,86.9375,78.47265625,49.5625,2579.75
1773026570052,1091.3828125,73.39453125,60.5,86.96875,78.47265625,49.56640625,2598.2109375
1773026585054,1090.98828125,73.3984375,60.5,86.99609375,78.4765625,49.56640625,2616.08203125
