ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind,stmt2_query
1785123777620,56.9765625,24.921875,26.375,29.57421875,27.95703125,26.92578125,27.1171875
1785123792622,462.55859375,32.17578125,29.8828125,43.47265625,29.640625,29.97265625,30.8671875
1785123807623,756.41796875,38.37890625,30.09375,43.703125,29.8828125,30.09765625,33.44921875
1785123822624,776.15625,44.6015625,30.37890625,43.76171875,30.09765625,30.25390625,35.88671875
1785123837625,782.484375,44.62109375,30.5078125,43.87109375,30.20703125,30.34765625,38.1953125
1785123852626,783.96875,44.62890625,30.5703125,44.08984375,30.3046875,30.44921875,40.375
1785123867628,786.53515625,44.6328125,30.58984375,46.12890625,30.421875,30.5625,42.453125
1785123882631,788.3984375,44.63671875,30.6328125,46.36328125,30.53515625,30.6640625,44.53125
1785123897632,816.453125,44.63671875,30.6640625,46.22265625,30.6484375,30.76953125,46.62109375
1785123912635,818.44921875,44.64453125,30.7109375,46.48828125,30.70703125,30.85546875,48.68359375
1785123927637,819.65625,44.6484375,30.734375,46.46875,32.734375,32.88671875,50.75
1785123942641,821.046875,44.6484375,30.75,46.4609375,32.7734375,32.91796875,50.80859375
1785123957642,821.328125,44.65234375,30.78125,46.55078125,32.8125,32.94921875,50.87890625
1785123972646,822.57421875,44.65625,30.796875,46.60546875,32.8515625,32.9765625,50.9765625
1785123987647,828.59375,44.65625,30.8203125,46.58203125,32.8828125,32.984375,51.0390625
1785124002648,829.71484375,44.8515625,30.828125,46.55859375,32.91796875,33.0234375,51.109375
1785124017649,832.1328125,44.85546875,30.84765625,46.54296875,32.93359375,33.0390625,51.16796875
1785124032651,833.9921875,44.859375,30.8671875,46.625,32.9375,33.0625,51.20703125
1785124047653,834.66015625,44.859375,30.89453125,46.5859375,32.953125,33.08984375,51.24609375
1785124062654,837.33203125,44.859375,30.90234375,46.60546875,34.96875,35.10546875,51.25
1785124077656,837.43359375,44.86328125,30.9140625,46.52734375,34.98046875,35.1171875,51.2578125
1785124092657,839.1328125,44.8671875,30.9296875,46.66015625,34.99609375,35.12890625,51.2734375
1785124107661,839.453125,44.87109375,30.94140625,46.578125,35.00390625,35.16796875,51.28515625
1785124122662,842.046875,44.87109375,30.95703125,46.765625,35.015625,35.171875,51.2890625
1785124137664,848.08203125,44.87109375,30.9609375,46.6875,35.02734375,35.18359375,51.30078125
1785124152668,848.81640625,44.875,30.96484375,46.62890625,35.03515625,35.18359375,51.32421875
1785124167669,851.51171875,44.87890625,30.9765625,46.57421875,35.0390625,35.19921875,51.3359375
1785124182670,854.89453125,44.88671875,30.984375,46.72265625,35.0625,35.20703125,51.375
1785124197671,856.39453125,44.88671875,30.984375,46.70703125,37.07421875,37.21875,51.37890625
1785124212673,857.0625,44.890625,30.99609375,46.6953125,37.08984375,37.23046875,51.40625
1785124227675,859.56640625,44.890625,31.00390625,46.66796875,37.09765625,37.2421875,51.41015625
1785124242676,861.41796875,44.89453125,31.0078125,46.65234375,37.125,37.24609375,51.43359375
1785124257681,860.2890625,44.90234375,31.0078125,46.7109375,37.1328125,37.2578125,51.44921875
1785124272682,861.2421875,44.90234375,31.01171875,46.71875,37.1484375,37.27734375,51.46484375
1785124287684,866.5625,44.90234375,31.01171875,46.7734375,37.15234375,37.29296875,51.4765625
1785124302685,867.5390625,44.90234375,31.01171875,46.90234375,37.15234375,37.30078125,51.50390625
1785124317687,870.1953125,44.90625,31.015625,46.8203125,37.16796875,37.30859375,51.51171875
1785124332689,872.37890625,44.90625,31.02734375,46.78125,37.16796875,37.32421875,51.51171875
1785124347690,875.2109375,44.90625,31.03125,46.68359375,39.171875,39.33984375,51.51953125
1785124362691,876.140625,44.90625,31.03125,46.7578125,39.1875,39.33984375,51.52734375
1785124377692,878.84765625,44.91015625,31.03125,46.80859375,39.1875,39.34375,51.53515625
1785124392695,882.40625,44.9140625,31.03125,46.91015625,39.19140625,39.34765625,51.54296875
1785124407698,883.53125,44.9140625,31.03125,46.78515625,39.19140625,39.3515625,51.546875
1785124422699,883.8515625,44.921875,31.03515625,46.8515625,39.19921875,39.3515625,51.5546875
1785124437700,887.94140625,44.9296875,31.03515625,46.8984375,39.203125,39.36328125,51.5625
1785124452701,889.10546875,44.9375,31.03515625,47.0,39.20703125,39.3671875,51.578125
