ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind,stmt2_query
1767580148610,60.70703125,24.24609375,27.8046875,30.04296875,27.796875,26.421875,26.23046875
1767580163612,568.875,31.34765625,28.8046875,43.1640625,29.046875,29.046875,29.63671875
1767580178614,786.21875,39.94140625,29.1796875,43.1640625,29.046875,29.296875,34.41015625
1767580193616,787.296875,44.0625,29.5546875,43.40234375,29.296875,29.296875,36.65234375
1767580208618,789.5859375,44.0625,29.5546875,43.515625,29.421875,29.546875,39.0703125
1767580223621,792.46875,44.0625,29.6796875,43.43359375,29.671875,29.671875,41.10546875
1767580238623,794.7734375,44.0625,29.8046875,45.484375,29.796875,29.921875,45.34765625
1767580253626,798.96484375,44.0625,29.8046875,45.40234375,29.921875,29.921875,47.359375
1767580268628,800.5078125,44.0625,29.8046875,45.7109375,31.93359375,32.1015625,49.5
1767580283630,802.33984375,44.0625,29.8046875,45.9140625,31.93359375,32.1015625,49.5
1767580298632,804.0625,44.0625,29.8046875,45.86328125,31.93359375,32.1015625,49.5
1767580313634,804.96875,44.0625,29.8046875,45.98046875,31.93359375,32.1015625,49.5
1767580328636,806.02734375,44.0625,29.9296875,45.91796875,32.05859375,32.1015625,49.625
1767580343639,812.70703125,44.0625,29.9296875,46.0234375,32.05859375,32.1015625,49.875
1767580358641,814.97265625,44.0625,29.9296875,46.09765625,32.05859375,32.1015625,49.875
1767580373642,816.91015625,44.0625,29.9296875,45.76171875,34.1953125,32.1015625,49.875
1767580388644,820.65625,44.0625,29.9296875,45.953125,34.1953125,34.15625,49.875
1767580403650,822.4921875,44.0625,29.9296875,46.0078125,34.1953125,34.15625,49.875
1767580418651,823.9609375,44.0625,29.9296875,45.76171875,34.3203125,34.15625,49.875
1767580433652,825.62109375,44.3125,29.9296875,45.75390625,34.3203125,34.15625,49.875
1767580448653,827.25,44.3125,29.9296875,45.95703125,34.3203125,34.15625,50.0
1767580463654,829.3046875,44.3125,30.0546875,45.77734375,34.3203125,34.28125,50.0
1767580478657,831.43359375,44.3125,30.0546875,46.03125,34.3203125,34.40625,50.0
1767580493660,833.90625,44.3125,30.1796875,45.9921875,36.41015625,36.41015625,50.0
1767580508663,834.015625,44.3125,30.1796875,45.77734375,36.41015625,36.41015625,50.0
1767580523666,839.66015625,44.3125,30.1796875,46.15234375,36.41015625,36.41015625,50.0
1767580538668,841.38671875,44.3125,30.1796875,46.08203125,36.41015625,36.41015625,50.125
1767580553669,842.92578125,44.3125,30.1796875,45.75390625,36.41015625,36.41015625,50.125
1767580568672,846.046875,44.3125,30.1796875,45.6953125,36.41015625,36.53515625,50.25
1767580583674,847.6875,44.3125,30.1796875,45.7109375,36.41015625,36.53515625,50.25
1767580598675,848.87109375,44.3125,30.1796875,46.07421875,36.41015625,36.53515625,50.25
1767580613678,850.73046875,44.3125,30.3046875,46.12109375,38.50390625,38.57421875,50.25
1767580628680,852.67578125,44.3125,30.3046875,46.078125,38.50390625,38.57421875,50.25
1767580643682,854.60546875,44.3125,30.3046875,46.140625,38.50390625,38.57421875,50.25
1767580658685,856.61328125,44.3125,30.3046875,46.03515625,38.50390625,38.57421875,50.25
1767580673689,857.88671875,44.3125,30.3046875,46.1484375,38.50390625,38.57421875,50.25
1767580688690,858.3671875,44.3125,30.3046875,46.16015625,38.50390625,38.57421875,50.25
1767580703694,867.40625,44.3125,30.3046875,46.16796875,38.50390625,38.57421875,50.25
1767580718695,869.0859375,44.3125,30.3046875,46.05859375,40.6171875,40.58203125,50.25
1767580733696,870.67578125,44.3125,30.3046875,46.1015625,40.6171875,40.58203125,50.25
1767580748697,872.25,44.3125,30.3046875,46.04296875,40.6171875,40.58203125,50.375
1767580763699,874.29296875,44.3125,30.3046875,46.03515625,40.6171875,40.58203125,50.375
1767580778700,879.47265625,44.3125,30.3046875,46.21875,40.6171875,40.58203125,50.375
1767580793702,881.55859375,44.3125,30.3046875,48.51171875,40.6171875,40.58203125,50.375
1767580808704,882.296875,44.3125,30.3046875,48.41015625,40.6171875,40.58203125,50.375
1767580823705,885.84765625,44.3125,30.3046875,48.32421875,40.6171875,40.58203125,50.375
1767580838708,886.48828125,44.3125,30.3046875,48.8046875,42.63671875,42.62109375,50.375
1767580853710,888.609375,44.3125,30.3046875,48.4765625,42.63671875,42.62109375,50.375
1767580868712,891.375,44.3125,30.3046875,48.765625,42.63671875,42.62109375,50.375
1767580883713,910.86328125,44.3125,30.3046875,48.7421875,42.63671875,42.62109375,50.375
1767580898714,936.640625,44.3125,30.3046875,48.62109375,42.76171875,42.62109375,50.375
1767580913715,953.859375,44.3125,30.3046875,50.5859375,42.76171875,42.62109375,50.375
1767580928718,967.44921875,44.3125,30.3046875,50.7265625,42.88671875,42.62109375,50.5
1767580943720,969.4609375,44.3125,30.3046875,50.42578125,44.92578125,44.62890625,50.5
1767580958722,971.19140625,44.3125,30.3046875,50.453125,44.92578125,44.62890625,50.5
1767580973724,971.98046875,44.3125,30.3046875,50.578125,44.92578125,44.62890625,50.5
1767580988726,973.6484375,44.3125,30.3046875,50.94921875,44.92578125,44.62890625,50.5
1767581003727,975.70703125,44.3125,30.3046875,50.7265625,44.92578125,44.62890625,50.5
1767581018729,976.5234375,44.3125,30.3046875,50.7734375,44.92578125,44.62890625,50.5
1767581033734,981.08984375,44.3125,30.3046875,50.63671875,44.92578125,44.62890625,50.5
1767581048737,982.296875,44.3125,30.3046875,50.71484375,44.92578125,44.62890625,50.5
1767581063739,982.6015625,44.4375,30.3046875,50.70703125,46.97265625,46.67578125,50.5
1767581078742,988.68359375,44.4375,30.3046875,50.49609375,46.97265625,46.67578125,50.5
1767581093744,991.75390625,44.4375,30.3046875,50.96875,46.97265625,46.67578125,50.625
1767581108746,994.53515625,44.4375,30.3046875,50.76171875,46.97265625,46.67578125,50.625
1767581123748,996.37109375,44.4375,30.3046875,50.55859375,46.97265625,46.67578125,50.625
1767581138751,998.73046875,44.4375,30.3046875,50.55078125,46.97265625,46.67578125,50.625
1767581153752,1002.17578125,44.4375,30.3046875,50.53125,46.97265625,46.67578125,50.625
1767581168755,1004.125,44.4375,30.3046875,50.65625,48.9921875,48.68359375,50.625
1767581183756,1006.1171875,44.4375,30.3046875,50.65625,48.9921875,48.68359375,50.625
1767581198759,1009.30859375,44.4375,30.3046875,50.85546875,48.8515625,48.68359375,50.625
1767581213761,1010.19921875,44.4375,30.3046875,50.80859375,48.8515625,48.68359375,50.625
1767581228763,1011.47265625,44.4375,30.3046875,50.9765625,48.8515625,48.68359375,50.625
1767581243765,1010.453125,44.4375,30.3046875,51.09765625,48.8515625,48.68359375,50.625
1767581258767,1034.765625,44.4375,30.3046875,50.98046875,48.8515625,48.68359375,50.625
1767581273769,1042.29296875,44.4375,30.3046875,51.046875,48.8515625,48.68359375,50.625
1767581288774,1069.3671875,44.4375,30.3046875,50.84375,48.9765625,48.68359375,50.625
1767581303776,1085.9296875,44.4375,30.3046875,51.1875,48.9765625,48.68359375,50.625
1767581318778,1089.23828125,44.4375,30.3046875,51.0234375,48.9765625,48.68359375,50.625
1767581333781,1090.71484375,54.8125,30.3046875,51.0546875,49.1015625,48.68359375,50.625
1767581348783,1092.3359375,73.6875,30.3046875,51.26953125,49.1015625,48.68359375,50.625
1767581363786,1095.37890625,73.6875,30.3046875,50.87890625,49.1015625,48.68359375,50.625
1767581378788,1096.40234375,73.6875,30.3046875,51.11328125,75.1015625,48.68359375,50.625
1767581393792,1098.6796875,73.6875,30.3046875,50.96484375,78.2265625,48.68359375,50.625
1767581408793,1102.16015625,73.6875,30.3046875,64.859375,78.2265625,48.68359375,50.625
1767581423796,1099.9609375,73.6875,30.3046875,80.515625,78.2265625,48.68359375,50.625
1767581438797,1091.8828125,73.6875,32.1796875,82.38671875,78.2265625,48.68359375,50.625
1767581453799,1102.390625,73.6875,46.0546875,82.484375,78.2265625,48.68359375,50.625
1767581468802,1102.44140625,73.6875,57.9296875,82.53515625,78.2265625,48.68359375,50.625
1767581483804,1102.265625,73.6875,59.9296875,82.3515625,78.2265625,52.05859375,50.625
1767581498806,1101.953125,73.6875,59.9296875,82.6796875,78.2265625,65.93359375,50.625
1767581513808,1101.3046875,73.6875,59.9296875,82.62890625,78.2265625,78.68359375,50.625
1767581528809,1101.3203125,73.6875,59.9296875,82.71484375,78.2265625,78.68359375,54.125
1767581543810,1100.765625,73.6875,59.9296875,82.71875,78.2265625,78.68359375,78.375
1767581558812,1100.06640625,73.6875,59.9296875,82.609375,78.2265625,78.68359375,80.375
1767581573813,1099.46875,73.6875,59.9296875,82.52734375,78.2265625,78.68359375,80.375
1767581588816,1098.734375,73.6875,59.9296875,82.41015625,78.2265625,78.68359375,80.375
1767581603818,1099.21875,73.6875,59.9296875,82.703125,78.2265625,78.68359375,80.375
1767581618820,1099.06640625,73.8125,59.9296875,84.68359375,78.2265625,78.68359375,80.375
1767581633822,1101.7265625,73.8125,59.9296875,84.8046875,78.2265625,78.68359375,80.375
1767581648825,1101.03125,73.8125,59.9296875,84.609375,78.2265625,78.68359375,80.375
1767581663827,1100.61328125,73.8125,59.9296875,84.578125,78.2265625,78.68359375,80.375
1767581678830,1100.20703125,73.8125,59.9296875,84.38671875,78.2265625,78.68359375,80.375
1767581693831,1100.50390625,73.8125,59.9296875,84.58203125,78.2265625,78.68359375,80.375
1767581708833,1101.0859375,73.8125,59.9296875,84.4453125,78.2265625,78.68359375,80.375
1767581723835,1100.58984375,73.8125,59.9296875,84.42578125,78.2265625,78.68359375,80.375
1767581738837,1100.234375,73.8125,59.9296875,84.75390625,78.2265625,78.68359375,80.375
1767581753838,1099.71875,73.8125,59.9296875,84.76953125,78.2265625,78.68359375,80.375
1767581768840,1097.86328125,73.8125,59.9296875,84.609375,78.2265625,78.68359375,80.375
1767581783841,1098.3984375,73.8125,59.9296875,84.71875,78.3515625,78.68359375,80.375
1767581798845,1096.21875,73.8125,59.9296875,84.74609375,78.3515625,78.68359375,80.375
1767581813846,1101.06640625,73.8125,59.9296875,84.70703125,78.3515625,78.68359375,80.375
1767581828848,1100.93359375,73.8125,59.9296875,84.4453125,78.3515625,78.68359375,80.375
1767581843852,1100.890625,73.8125,59.9296875,84.65234375,78.3515625,78.68359375,80.375
1767581858854,1100.71875,73.8125,59.9296875,84.55859375,78.3515625,78.68359375,80.375
1767581873855,1099.41015625,73.8125,59.9296875,84.60546875,78.3515625,78.68359375,80.375
1767581888857,1099.4921875,73.8125,59.9296875,84.53125,78.3515625,78.68359375,80.375
1767581903858,1099.74609375,73.8125,59.9296875,84.62890625,78.3515625,78.68359375,80.375
1767581918860,1099.57421875,73.8125,59.9296875,84.5234375,78.3515625,78.68359375,80.375
1767581933862,1099.265625,73.8125,59.9296875,84.50390625,78.3515625,78.68359375,80.375
1767581948868,1099.65234375,73.8125,59.9296875,84.421875,78.3515625,78.68359375,80.375
1767581963870,1100.08984375,73.8125,59.9296875,84.48046875,78.3515625,78.68359375,80.375
1767581978872,1099.0234375,73.8125,59.9296875,84.72265625,78.3515625,78.68359375,80.375
1767581993875,1096.83984375,73.8125,59.9296875,84.4609375,78.3515625,78.68359375,80.375
1767582008878,1102.07421875,73.8125,59.9296875,84.40625,78.3515625,78.68359375,80.375
1767582023881,1101.95703125,73.8125,59.9296875,84.61328125,78.3515625,78.68359375,80.375
1767582038882,1105.73046875,73.8125,59.9296875,84.7109375,78.3515625,78.68359375,80.375
1767582053885,1105.23828125,73.8125,59.9296875,86.6484375,78.3515625,78.68359375,80.375
1767582068886,1104.8671875,73.8125,59.9296875,86.53515625,78.3515625,78.68359375,80.375
1767582083888,1104.62890625,73.8125,59.9296875,86.5546875,78.3515625,78.68359375,80.375
1767582098889,1103.69140625,73.8125,59.9296875,86.58203125,78.3515625,78.68359375,80.5
1767582113891,1103.109375,73.8125,59.9296875,86.546875,78.3515625,78.68359375,80.5
1767582128894,1101.84765625,73.8125,59.9296875,86.82421875,78.3515625,78.68359375,80.5
1767582143896,1102.13671875,73.8125,59.9296875,86.5859375,78.3515625,78.68359375,80.5
1767582158899,1101.421875,73.8125,59.9296875,86.63671875,78.3515625,78.68359375,80.5
1767582173900,1098.62109375,73.8125,59.9296875,86.78515625,78.3515625,78.68359375,80.5
1767582188901,1104.3125,73.8125,59.9296875,86.734375,78.3515625,78.68359375,80.5
1767582203904,1103.78125,73.8125,59.9296875,86.69140625,78.3515625,78.68359375,80.5
1767582218908,1103.109375,73.8125,59.9296875,86.53125,78.3515625,78.68359375,80.5
1767582233909,1102.98828125,73.8125,59.9296875,86.796875,78.3515625,78.68359375,80.5
1767582248910,1103.7265625,73.8125,59.9296875,86.83984375,78.3515625,78.68359375,80.5
1767582263915,1103.046875,73.8125,59.9296875,86.67578125,78.3515625,78.68359375,80.5
1767582278917,1103.10546875,73.8125,59.9296875,86.93359375,78.3515625,78.68359375,80.5
1767582293919,1102.46484375,73.8125,59.9296875,86.8828125,78.3515625,78.68359375,80.5
1767582308920,1101.55859375,73.8125,59.9296875,86.7890625,78.3515625,78.68359375,80.5
1767582323925,1101.1796875,73.8125,59.9296875,86.4921875,78.3515625,78.68359375,80.5
1767582338926,1100.3203125,73.8125,59.9296875,86.75,78.3515625,78.68359375,80.5
1767582353927,1098.33203125,73.8125,59.9296875,86.734375,78.3515625,78.68359375,80.5
1767582368930,1103.2890625,73.8125,59.9296875,88.671875,78.3515625,78.68359375,80.5
1767582383931,1103.23046875,73.8125,59.9296875,88.8828125,78.3515625,78.68359375,80.5
1767582398933,1102.6171875,73.8125,59.9296875,88.796875,78.3515625,78.68359375,80.5
1767582413935,1102.59765625,73.8125,59.9296875,88.86328125,78.3515625,78.68359375,80.5
1767582428937,1102.8359375,73.8125,59.9296875,88.671875,78.3515625,78.68359375,80.5
1767582443939,1102.6171875,73.8125,59.9296875,88.890625,78.3515625,78.68359375,80.5
1767582458941,1102.22265625,73.8125,59.9296875,88.6015625,78.3515625,78.68359375,80.5
1767582473943,1101.4921875,73.8125,59.9296875,88.8203125,78.3515625,78.68359375,80.5
1767582488944,1101.06640625,73.8125,59.9296875,88.96484375,78.3515625,78.68359375,80.5
1767582503947,1099.875,73.8125,59.9296875,88.81640625,78.3515625,78.68359375,80.625
1767582518951,1100.04296875,73.8125,59.9296875,88.78125,78.3515625,78.68359375,80.625
1767582533953,1096.47265625,73.8125,59.9296875,88.84765625,78.3515625,78.68359375,80.625
