ts,taosd,conn,insert,query,stmt2_bind,stmt2_async_bind,stmt2_query
1787363093509,58.73828125,25.171875,27.078125,28.9296875,22.984375,27.28125,23.4609375
1787363108509,737.46484375,38.76171875,30.52734375,44.8359375,30.4765625,30.86328125,34.3515625
1787363123511,784.55078125,45.33203125,30.87890625,46.9296875,30.7109375,31.046875,38.9453125
1787363138511,789.94140625,45.4140625,31.14453125,47.125,33.0234375,33.2890625,41.390625
1787363153512,791.8671875,45.4140625,31.1640625,47.24609375,33.1796875,33.43359375,45.52734375
1787363168515,798.0,45.4140625,31.1953125,47.3359375,33.3671875,33.59375,49.66015625
1787363183516,827.4375,45.421875,31.21875,47.3125,35.40625,35.6953125,51.7734375
1787363198516,826.01953125,45.421875,31.2421875,47.296875,35.4453125,35.73046875,51.8828125
1787363213517,829.609375,45.42578125,31.3203125,47.3671875,35.48046875,35.75390625,52.0
1787363228518,831.48046875,45.44140625,31.33203125,47.5703125,37.5,37.78125,52.09765625
1787363243519,835.34375,45.453125,31.33984375,49.55078125,37.58203125,37.8046875,52.1953125
1787363258521,842.0,45.453125,31.359375,49.69140625,37.60546875,39.82421875,52.234375
1787363273521,842.5234375,45.45703125,31.3671875,49.77734375,39.625,39.84765625,52.26171875
1787363288522,847.640625,45.4609375,31.390625,49.828125,39.640625,39.8671875,52.27734375
1787363303524,849.5390625,45.4609375,31.39453125,49.7734375,41.66015625,41.8984375,52.30859375
1787363318526,853.828125,45.4609375,31.421875,50.0,41.69921875,41.91015625,52.3359375
1787363333527,855.76171875,45.4609375,31.4296875,49.93359375,41.71875,41.93359375,52.35546875
1787363348529,861.9921875,45.4609375,31.4375,49.98046875,43.7421875,43.9375,52.359375
1787363363529,863.6328125,45.4609375,31.44921875,50.12890625,43.77734375,43.97265625,52.37109375
1787363378531,866.02734375,45.4609375,31.46875,50.1484375,43.78515625,43.97265625,52.3984375
1787363393531,867.80859375,45.4609375,31.46875,50.1953125,45.8046875,45.98046875,52.4140625
1787363408533,871.0390625,45.4609375,31.48046875,50.0546875,45.8203125,45.9921875,52.4453125
1787363423534,875.3125,45.4765625,31.48828125,50.0703125,45.828125,46.0,52.46484375
1787363438535,877.421875,45.48046875,31.48828125,50.07421875,47.84375,48.015625,52.4765625
1787363453536,879.1015625,45.48046875,31.5,50.08984375,47.890625,48.02734375,52.49609375
1787363468538,884.9296875,45.48046875,31.5,50.10546875,47.8984375,50.0390625,52.5234375
1787363483539,883.69140625,45.484375,31.53515625,50.07421875,49.90625,50.04296875,52.53125
1787363498539,887.5625,45.4921875,31.5390625,50.2109375,49.91796875,50.05859375,52.5546875
1787363513540,893.31640625,45.49609375,31.54296875,50.14453125,49.91796875,50.0625,52.5625
1787363528541,895.8359375,45.5,31.546875,50.15625,49.91796875,50.06640625,52.58203125
1787363543542,898.02734375,45.5078125,31.546875,50.1953125,49.921875,50.0859375,52.58984375
1787363558543,903.05078125,45.5078125,31.546875,52.26953125,49.9296875,50.09375,52.6015625
1787363573543,906.75390625,45.5078125,31.546875,52.41015625,49.9296875,50.09375,52.609375
1787363588544,909.0078125,45.5078125,31.546875,54.4765625,49.9453125,50.09375,52.61328125
1787363603546,911.390625,45.51171875,31.55078125,54.5625,49.95703125,50.09765625,52.6171875
1787363618547,912.73828125,45.51171875,31.5546875,54.734375,49.9609375,50.1015625,52.625
1787363633548,918.2265625,45.51171875,31.55859375,54.703125,49.96484375,50.10546875,52.62890625
1787363648549,919.62109375,45.515625,31.55859375,54.77734375,49.96484375,50.109375,52.63671875
1787363663550,922.80078125,45.515625,31.5625,54.9453125,49.97265625,50.11328125,52.65234375
1787363678553,925.86328125,45.515625,31.5625,54.80859375,49.97265625,50.1171875,52.66015625
1787363693554,927.046875,45.51953125,31.5625,54.9453125,49.97265625,50.125,52.671875
1787363708556,929.36328125,45.5234375,31.5625,54.90625,49.98046875,50.125,52.6796875
1787363723557,931.2109375,45.5234375,31.56640625,54.8828125,49.98828125,50.12890625,52.6875
1787363738558,939.27734375,45.5234375,31.56640625,56.81640625,49.99609375,50.13671875,52.70703125
1787363753559,940.76953125,45.5234375,31.56640625,56.765625,50.0,50.13671875,52.71875
1787363768560,942.17578125,45.5234375,31.56640625,56.796875,50.0,50.14453125,52.72265625
1787363783561,947.3671875,45.52734375,31.57421875,56.91015625,50.00390625,50.14453125,52.72265625
1787363798562,950.33203125,45.52734375,31.57421875,56.8359375,50.015625,50.14453125,52.7265625
1787363813563,954.203125,45.52734375,31.578125,56.8203125,50.0234375,50.14453125,52.734375
1787363828565,956.3984375,45.52734375,31.58203125,56.875,50.0234375,50.15234375,52.73828125
1787363843567,960.49609375,45.52734375,31.58203125,56.78515625,50.0234375,50.15234375,52.73828125
1787363858568,990.58984375,45.52734375,31.5859375,56.8828125,50.03125,50.15234375,52.73828125
1787363873570,1002.671875,45.53515625,31.58984375,56.82421875,50.03515625,50.15625,52.74609375
1787363888574,1004.8203125,45.53515625,31.59375,57.00390625,50.04296875,50.15625,52.75390625
1787363903574,1008.1875,45.53515625,31.59375,56.90625,50.04296875,50.15625,52.7578125
1787363918575,1010.203125,45.5390625,31.59765625,56.94921875,50.04296875,50.15625,52.7578125
1787363933577,1014.43359375,45.5390625,31.6015625,56.9609375,50.046875,50.16015625,52.765625
1787363948579,1016.94921875,45.54296875,31.60546875,56.8984375,50.05078125,50.1640625,52.765625
1787363963581,1019.13671875,45.546875,31.625,56.96484375,50.05078125,50.1640625,52.765625
1787363978583,1024.83984375,45.546875,31.625,56.875,50.05859375,50.1640625,52.7734375
1787363993585,1026.27734375,45.5546875,31.625,57.1015625,50.05859375,50.19140625,52.7890625
1787364008586,1030.66796875,45.58203125,31.65234375,59.0,50.08203125,50.1953125,52.82421875
1787364023586,1029.81640625,45.58203125,31.65234375,59.08984375,50.08203125,50.1953125,52.82421875
1787364038588,1029.484375,45.58203125,31.65234375,59.2734375,50.08203125,50.1953125,52.82421875
1787364053591,1032.0546875,45.5859375,31.65234375,61.125,50.08203125,50.1953125,52.82421875
1787364068591,1031.5390625,45.5859375,31.65234375,61.234375,50.08984375,50.1953125,52.828125
1787364083593,1031.3671875,45.5859375,31.65234375,61.3359375,50.08984375,50.1953125,52.828125
1787364098596,1030.5234375,45.58984375,31.65234375,61.26171875,50.09765625,50.19921875,52.83203125
1787364113597,1030.125,45.58984375,31.65234375,61.3671875,50.09765625,50.19921875,52.83984375
1787364128599,1030.77734375,45.58984375,31.65234375,61.546875,50.1015625,50.19921875,52.84375
1787364143599,1032.4375,45.59375,31.65234375,61.3203125,50.10546875,50.19921875,52.84375
1787364158600,1032.21875,45.59375,31.65234375,61.1953125,50.10546875,50.19921875,52.84375
1787364173601,1032.77734375,45.59375,31.65234375,61.33203125,50.10546875,50.19921875,52.84375
1787364188602,1030.6640625,45.59765625,31.65234375,61.2421875,50.11328125,50.19921875,52.8515625
1787364203602,1038.58203125,45.59765625,31.65234375,61.3203125,50.1171875,50.19921875,52.85546875
1787364218604,1050.92578125,45.59765625,31.65234375,61.26953125,50.1171875,50.20703125,52.85546875
1787364233605,1060.96875,45.6015625,31.65234375,61.26953125,50.1171875,50.2109375,52.85546875
1787364248606,1084.7890625,45.6015625,31.65234375,61.2734375,50.1171875,50.2109375,52.86328125
1787364263607,1104.7421875,45.60546875,31.65625,61.3125,50.12109375,50.22265625,52.875
1787364278609,1123.45703125,45.609375,31.65625,61.3125,50.12109375,50.22265625,52.875
1787364293609,1124.578125,45.609375,31.65625,63.5078125,50.12109375,50.2265625,52.875
1787364308611,1124.55078125,45.609375,31.65625,89.1796875,50.12109375,50.2265625,52.875
1787364323612,1124.15625,45.609375,31.66015625,92.97265625,50.12109375,50.2265625,52.8828125
1787364338614,1126.30859375,45.609375,45.50390625,92.9609375,50.12109375,50.2265625,52.9140625
1787364353614,1124.7890625,45.609375,58.2734375,92.91015625,50.125,50.2265625,52.9140625
1787364368615,1124.9140625,47.3359375,60.26953125,93.08984375,50.125,50.2265625,52.9140625
1787364383617,1126.25,61.1796875,60.26953125,92.96875,50.125,50.2265625,52.9140625
1787364398617,1126.00390625,75.03125,60.26953125,93.078125,50.125,50.23046875,52.921875
1787364413619,1125.58984375,75.03125,60.26953125,93.31640625,50.125,50.23046875,56.390625
1787364428620,1124.1875,75.03125,60.26953125,93.13671875,50.125,50.234375,79.99609375
1787364443622,1126.3984375,75.03125,60.26953125,93.27734375,50.125,50.234375,81.9921875
1787364458623,1125.9140625,75.03125,60.26953125,95.3359375,50.125,55.390625,81.9921875
1787364473628,1126.0234375,75.03125,60.26953125,95.32421875,50.125,78.23828125,81.9921875
1787364488629,1124.58984375,75.03125,60.26953125,95.34375,50.125,80.234375,81.9921875
1787364503629,1123.4453125,75.03125,60.26953125,95.45703125,69.16796875,80.234375,81.9921875
1787364518631,1127.98046875,75.03125,60.26953125,95.40234375,77.37109375,80.234375,81.9921875
1787364533632,1126.98828125,75.03515625,60.26953125,95.44140625,79.3671875,80.234375,81.9921875
1787364548633,1126.6328125,75.03515625,60.26953125,95.375,79.3671875,80.234375,81.9921875
1787364563634,1126.3671875,75.03515625,60.26953125,95.55078125,79.37109375,80.23828125,81.9921875
1787364578634,1126.609375,75.03515625,60.26953125,95.3828125,79.37109375,80.23828125,81.9921875
1787364593635,1126.07421875,75.03515625,60.2734375,95.59765625,79.37109375,80.23828125,81.9921875
1787364608636,1126.875,75.03515625,60.2734375,95.37109375,79.37109375,80.23828125,81.9921875
1787364623638,1126.76171875,75.03515625,60.2734375,95.5078125,79.37109375,80.23828125,81.9921875
1787364638639,1125.921875,75.03515625,60.2734375,95.41796875,79.375,80.23828125,81.9921875
1787364653640,1125.55859375,75.0390625,60.27734375,95.47265625,79.375,80.2421875,81.99609375
