ts,taosd,conn,insert,query,stmt2_bind
1748139093379,37.875,19.546875,21.90234375,23.48828125,20.48046875
1748139108379,457.5703125,34.5390625,25.42578125,48.81640625,41.65234375
1748139123380,460.21484375,38.63671875,27.60546875,50.56640625,41.77734375
1748139138382,464.1640625,38.76171875,29.8515625,52.19140625,42.02734375
1748139153382,472.83203125,38.90234375,31.8671875,52.19140625,42.15234375
1748139168384,472.6328125,38.90234375,33.90234375,52.31640625,42.15234375
1748139183385,477.71875,38.90234375,36.0,52.44140625,42.15234375
1748139198387,481.24609375,38.90234375,38.0078125,52.69140625,42.27734375
1748139213388,485.421875,38.90234375,40.0078125,52.81640625,42.27734375
1748139228389,493.1953125,38.90234375,42.01953125,52.94140625,42.27734375
1748139243390,496.70703125,38.90234375,42.01953125,52.94140625,42.27734375
1748139258391,495.19921875,38.90234375,42.01953125,52.94140625,42.27734375
1748139273392,498.3515625,38.90234375,42.01953125,55.25390625,42.27734375
1748139288394,494.0625,38.90234375,42.01953125,55.25390625,42.27734375
1748139303396,516.69921875,38.90234375,42.01953125,55.75390625,42.40234375
1748139318396,522.62109375,38.90234375,42.01953125,55.75390625,42.40234375
1748139333398,526.15234375,38.90234375,42.01953125,55.75390625,42.52734375
1748139348399,528.61328125,38.90234375,42.01953125,55.75390625,42.52734375
1748139363400,535.59765625,38.90234375,42.01953125,55.75390625,42.52734375
1748139378401,541.12890625,38.90234375,42.01953125,55.75390625,42.65234375
1748139393403,542.97265625,38.90234375,42.01953125,55.87890625,42.77734375
1748139408404,551.109375,38.90234375,42.01953125,55.87890625,42.77734375
1748139423405,556.08984375,38.90234375,42.01953125,55.87890625,42.77734375
1748139438406,559.58984375,38.90234375,42.01953125,55.87890625,42.77734375
1748139453407,569.13671875,38.90234375,42.01953125,55.87890625,42.77734375
1748139468408,567.17578125,38.90234375,42.01953125,56.00390625,42.77734375
1748139483409,574.265625,39.02734375,42.01953125,56.00390625,42.77734375
1748139498410,571.87109375,39.02734375,42.01953125,56.00390625,42.77734375
1748139513411,565.2734375,39.02734375,42.01953125,56.12890625,42.77734375
1748139528412,584.3828125,39.02734375,42.01953125,56.12890625,42.77734375
1748139543414,591.484375,39.02734375,42.01953125,56.12890625,42.77734375
1748139558415,614.80859375,39.02734375,42.01953125,56.12890625,42.77734375
1748139573417,635.92578125,39.02734375,42.01953125,56.12890625,42.77734375
1748139588418,641.46875,39.02734375,42.01953125,58.21484375,42.77734375
1748139603418,653.5703125,39.02734375,42.14453125,58.21484375,42.90234375
1748139618419,659.234375,39.02734375,42.14453125,58.21484375,42.90234375
1748139633420,661.7109375,39.02734375,42.14453125,58.33984375,42.90234375
1748139648421,663.4296875,39.15234375,42.14453125,58.33984375,42.90234375
1748139663422,674.20703125,39.15234375,42.26953125,58.33984375,42.90234375
1748139678423,668.1640625,39.15234375,42.26953125,58.33984375,42.90234375
1748139693424,675.0,39.15234375,42.26953125,58.33984375,42.90234375
1748139708425,679.16015625,39.15234375,42.26953125,58.33984375,42.90234375
1748139723426,686.10546875,39.15234375,42.26953125,58.33984375,42.90234375
1748139738427,741.4453125,39.15234375,42.26953125,59.33984375,42.90234375
1748139753428,734.59375,39.15234375,42.26953125,62.6015625,43.02734375
1748139768429,742.15625,39.15234375,42.26953125,63.2265625,43.02734375
1748139783431,746.09765625,39.15234375,42.26953125,64.3671875,43.02734375
1748139798432,749.26953125,39.15234375,42.26953125,66.96875,43.02734375
1748139813434,748.7265625,39.15234375,42.26953125,67.59375,43.02734375
1748139828435,747.19140625,39.15234375,42.26953125,68.71875,43.02734375
1748139843436,751.390625,39.15234375,42.26953125,70.7265625,43.02734375
1748139858437,751.53125,39.15234375,42.26953125,70.7890625,43.02734375
1748139873439,764.1640625,39.15234375,42.26953125,70.80859375,43.02734375
1748139888440,762.69140625,39.15234375,42.26953125,73.42578125,43.02734375
1748139903441,762.34375,39.15234375,42.26953125,73.55078125,43.02734375
1748139918443,763.83984375,39.15234375,42.26953125,74.80859375,43.02734375
1748139933444,765.09375,39.15234375,42.26953125,74.3984375,43.02734375
1748139948446,758.78515625,39.15234375,42.26953125,74.3984375,43.02734375
1748139963447,774.5546875,39.15234375,42.26953125,76.4609375,43.02734375
1748139978448,776.109375,39.15234375,42.26953125,76.98828125,43.02734375
1748139993449,782.8515625,39.27734375,42.26953125,77.11328125,43.02734375
1748140008450,791.3359375,39.27734375,42.26953125,79.73828125,43.02734375
1748140023452,796.89453125,39.27734375,42.26953125,79.73828125,43.02734375
1748140038453,795.15625,39.27734375,42.26953125,79.06640625,43.02734375
1748140053454,798.5078125,39.27734375,42.26953125,78.94921875,46.02734375
1748140068456,796.7109375,39.27734375,42.26953125,79.25,46.02734375
1748140083458,793.3046875,41.27734375,42.26953125,79.25,46.02734375
1748140098459,798.1875,41.27734375,42.26953125,80.125,46.02734375
1748140113460,797.953125,41.27734375,42.26953125,84.25,46.02734375
1748140128462,795.4375,41.27734375,42.26953125,84.25,46.02734375
1748140143463,785.640625,41.27734375,44.76953125,84.375,46.02734375
1748140158464,798.375,41.27734375,44.76953125,84.078125,46.02734375
1748140173465,799.0390625,41.27734375,44.76953125,84.703125,46.02734375
1748140188467,800.84375,41.27734375,44.76953125,84.703125,46.02734375
1748140203468,801.53515625,41.27734375,44.76953125,84.703125,46.02734375
1748140218469,804.44921875,41.27734375,44.76953125,84.828125,46.02734375
1748140233470,807.140625,41.27734375,44.76953125,84.046875,46.02734375
1748140248471,809.609375,41.27734375,44.76953125,83.578125,46.02734375
1748140263473,809.82421875,41.27734375,44.89453125,83.953125,46.02734375
1748140278474,805.78125,41.27734375,44.89453125,84.078125,46.02734375
1748140293475,809.73046875,41.27734375,44.89453125,84.453125,46.02734375
1748140308476,807.109375,41.27734375,44.89453125,84.453125,46.02734375
1748140323479,806.75,41.27734375,44.89453125,84.453125,46.02734375
1748140338480,781.91796875,41.27734375,44.89453125,84.453125,46.02734375
1748140353483,809.9296875,41.27734375,44.89453125,84.04296875,46.02734375
1748140368484,809.3828125,41.27734375,44.89453125,84.41796875,46.02734375
1748140383485,813.9921875,41.27734375,44.89453125,83.86328125,46.02734375
1748140398486,815.37890625,41.27734375,44.89453125,84.61328125,46.02734375
1748140413487,815.92578125,41.27734375,44.89453125,84.4765625,46.02734375
1748140428489,816.0390625,41.27734375,44.89453125,84.6015625,46.02734375
1748140443490,815.4140625,41.27734375,44.89453125,84.6015625,46.02734375
1748140458491,816.59375,41.27734375,44.89453125,85.1015625,46.02734375
1748140473492,816.7890625,41.27734375,44.89453125,85.1015625,46.02734375
1748140488493,813.36328125,41.27734375,44.89453125,85.1015625,46.02734375
1748140503495,815.1171875,41.27734375,44.89453125,85.265625,46.02734375
1748140518496,811.85546875,41.27734375,44.89453125,84.77734375,46.02734375
1748140533497,809.91015625,41.27734375,44.89453125,84.77734375,46.02734375
1748140548497,813.35546875,41.27734375,44.89453125,84.77734375,46.02734375
1748140563499,813.625,41.27734375,44.89453125,85.27734375,46.02734375
1748140578500,813.30859375,41.40234375,44.89453125,85.1484375,46.02734375
1748140593501,812.90625,41.40234375,44.89453125,84.49609375,46.02734375
1748140608503,814.0625,41.40234375,44.89453125,85.12109375,46.02734375
1748140623503,816.5859375,41.40234375,44.89453125,84.51953125,46.02734375
1748140638504,821.83984375,41.40234375,44.89453125,84.5625,46.02734375
1748140653506,821.44921875,41.40234375,44.89453125,84.5234375,46.02734375
1748140668507,819.55859375,41.40234375,44.89453125,83.95703125,46.02734375
1748140683508,827.90625,41.40234375,44.89453125,84.58203125,46.02734375
1748140698509,830.0078125,41.40234375,44.89453125,84.58203125,46.02734375
1748140713510,827.8828125,41.40234375,44.89453125,84.58203125,46.02734375
1748140728511,825.01953125,41.40234375,44.89453125,84.58203125,46.02734375
1748140743513,829.4140625,41.40234375,44.89453125,84.98046875,46.02734375
1748140758514,831.1796875,41.40234375,44.89453125,84.98046875,46.02734375
1748140773515,829.69140625,41.40234375,44.89453125,84.98046875,46.02734375
1748140788517,830.23828125,41.40234375,44.89453125,84.98046875,46.02734375
1748140803519,829.03125,41.40234375,44.89453125,84.4921875,46.02734375
1748140818520,829.234375,41.40234375,44.89453125,84.4921875,46.02734375
1748140833521,831.85546875,41.40234375,44.89453125,84.9921875,46.02734375
1748140848522,822.9140625,41.40234375,44.89453125,84.9921875,46.02734375
1748140863524,830.49609375,41.40234375,44.89453125,84.9921875,46.02734375
1748140878524,828.6328125,41.40234375,44.89453125,84.9921875,46.02734375
1748140893526,831.33203125,41.40234375,44.89453125,84.9921875,46.02734375
1748140908528,831.21875,41.40234375,44.89453125,84.9921875,46.02734375
1748140923529,821.67578125,41.40234375,44.89453125,84.9921875,46.02734375
1748140938530,831.40625,41.40234375,44.89453125,84.9921875,46.02734375
1748140953531,827.484375,41.40234375,44.89453125,84.9921875,46.02734375
1748140968531,831.20703125,41.40234375,44.89453125,84.9921875,46.02734375
1748140983532,831.53515625,41.40234375,44.89453125,84.9921875,46.02734375
1748140998533,831.3984375,41.40234375,44.89453125,84.9921875,46.02734375
1748141013535,819.30078125,41.40234375,44.89453125,84.9921875,46.02734375
1748141028536,825.6953125,41.40234375,44.89453125,84.9921875,46.02734375
1748141043537,827.96484375,41.40234375,44.89453125,84.9921875,46.02734375
1748141058538,823.9140625,41.40234375,44.89453125,84.9921875,46.02734375
1748141073540,831.77734375,41.40234375,44.89453125,84.9921875,46.02734375
1748141088543,831.96875,41.40234375,44.89453125,84.9921875,46.02734375
1748141103544,830.80859375,41.40234375,44.89453125,84.9921875,46.02734375
1748141118544,815.98828125,41.40234375,44.89453125,84.9921875,46.02734375
1748141133545,840.30078125,41.40234375,44.89453125,84.9921875,46.02734375
1748141148546,838.890625,41.40234375,44.89453125,84.4765625,46.02734375
1748141163547,835.0625,41.40234375,44.89453125,84.6015625,46.02734375
1748141178548,836.828125,41.40234375,45.01953125,84.6015625,46.02734375
1748141193549,834.0234375,41.40234375,45.01953125,84.6015625,46.02734375
1748141208550,836.55078125,41.40234375,45.01953125,84.47265625,46.02734375
1748141223551,834.890625,41.40234375,45.01953125,84.59765625,46.02734375
1748141238553,835.51171875,41.40234375,45.01953125,85.34765625,46.02734375
1748141253555,835.546875,41.40234375,45.01953125,85.84765625,46.02734375
1748141268556,832.34375,41.40234375,45.01953125,85.97265625,46.02734375
1748141283557,831.93359375,41.40234375,45.01953125,85.97265625,46.02734375
1748141298559,832.765625,41.40234375,45.01953125,85.97265625,46.02734375
1748141313560,835.43359375,41.40234375,45.01953125,85.68359375,46.02734375
1748141328561,833.5078125,41.40234375,0.0,84.515625,0.0
1748141343561,833.40625,41.40234375,0.0,84.515625,0.0
1748141358562,833.46484375,41.40234375,0.0,84.515625,0.0
1748141373563,833.4609375,41.40234375,0.0,84.515625,0.0
1748141388564,833.671875,41.40234375,0.0,84.515625,0.0
1748141403564,833.3203125,41.40234375,0.0,84.515625,0.0
1748141418565,833.21875,41.40234375,0.0,84.515625,0.0
1748141433566,833.29296875,41.40234375,0.0,84.515625,0.0
1748141448567,833.25,41.40234375,0.0,84.515625,0.0
1748141463567,833.265625,41.40234375,0.0,84.515625,0.0
1748141478569,833.5625,41.40234375,0.0,84.515625,0.0
1748141493569,833.17578125,41.40234375,0.0,84.515625,0.0
1748141508570,833.16796875,41.40234375,0.0,84.515625,0.0
1748141523571,833.15625,41.40234375,0.0,84.515625,0.0
1748141538572,833.32421875,41.40234375,0.0,84.515625,0.0
1748141553573,833.2578125,41.40234375,0.0,84.640625,0.0
